Date,Open,High,Low,Close,Adj Close,Volume
2013-05-08,870.0,913.9000244140624,869.9500122070312,905.7000122070312,862.6851806640625,304901
2013-05-09,906.8499755859376,927.7000122070312,894.5,918.5499877929688,874.9248657226562,316638
2013-05-10,910.0,953.6500244140624,910.0,941.5499877929688,896.8325805664062,380667
2013-05-13,945.0,949.3499755859376,892.0,899.4000244140625,856.684326171875,178571
2013-05-14,900.0,921.75,883.0999755859375,909.3499755859376,866.1617431640625,191464
2013-05-15,909.7999877929688,992.75,906.1500244140624,964.6500244140624,918.83544921875,492804
2013-05-16,974.7000122070312,1060.0,972.0,1043.949951171875,994.3690795898438,1640222
2013-05-17,1055.0,1097.8499755859375,1025.050048828125,1066.4000244140625,1015.7528686523438,1266192
2013-05-20,1072.0,1072.0,977.4000244140624,996.9000244140624,949.5537719726562,973424
2013-05-21,990.0,1001.0,940.4000244140624,976.9500122070312,930.5512084960938,936313
2013-05-22,977.0,996.9500122070312,936.0,943.3499755859376,898.5469970703125,637786
2013-05-23,939.0,965.0,910.0,949.7999877929688,904.6907958984376,387546
2013-05-24,958.7999877929688,970.0,890.0,900.7000122070312,857.9225463867188,425303
2013-05-27,906.0,972.9000244140624,900.9500122070312,950.6500244140624,905.5001831054688,888479
2013-05-28,954.7999877929688,992.0,936.0499877929688,979.9500122070312,933.4088134765624,877300
2013-05-29,971.5999755859376,985.4500122070312,942.0,962.7000122070312,916.9782104492188,545872
2013-05-30,965.0,980.0,954.5,960.0499877929688,914.4539184570312,1028429
2013-05-31,960.0,1045.0,960.0,1007.7000122070312,959.8408203125,4658894
2013-06-03,1009.0,1044.0,962.6500244140624,971.4000244140624,925.2648315429688,528878
2013-06-04,985.0,1040.0,976.5,1026.25,977.509765625,617696
2013-06-05,1030.0,1048.0,1004.5,1017.7999877929688,969.4610595703124,493171
2013-06-06,1018.0,1018.0999755859376,996.0,1004.8499755859376,957.126220703125,224018
2013-06-07,997.0499877929688,1024.0,970.0,980.9000244140624,934.3136596679688,173711
2013-06-10,985.1500244140624,1019.8499755859376,952.7999877929688,1000.5999755859376,953.0780029296876,339238
2013-06-11,1000.0,1018.0,945.25,956.0,910.5963134765624,378688
2013-06-12,960.0,964.0,922.0,929.4500122070312,885.3071899414062,407592
2013-06-13,925.0,935.0,910.0,924.75,880.830322265625,194006
2013-06-14,931.0,1003.9000244140624,931.0,994.5499877929688,947.3153076171876,371274
2013-06-17,998.1500244140624,1003.7000122070312,970.0,991.8499755859376,944.7435302734376,162499
2013-06-18,988.0,1011.4000244140624,979.5999755859376,989.8499755859376,942.8384399414062,261478
2013-06-19,992.0,998.6500244140624,969.25,976.4500122070312,930.0750122070312,144914
2013-06-20,974.0,990.9000244140624,956.0,979.0999755859376,932.59912109375,200771
2013-06-21,970.0,983.9000244140624,945.0,972.3499755859376,926.1696166992188,278730
2013-06-24,965.0,974.9500122070312,956.0,970.0499877929688,923.9790649414062,100247
